 id | module_id |               name                |                                                                                                          content                                                                                                           |                          solution                           |                            test_verification                            | language | requires_manual_review 
----+-----------+-----------------------------------+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------+-------------------------------------------------------------------------+----------+------------------------
 43 |        14 | Saludo a tu héroe favorito        | ¿Cuál es tu superhéroe favorito? Guarda su nombre en una variable y muestra un saludo como "¡Hola, [Superhéroe]!"                                                                                                          | "¡Hola, [Superhéroe]!"                                      | "{\"Spiderman\": \"\u00a1Hola, Spiderman!\"}"                           | PYTHON   | f
 44 |        14 | La edad del perro en años humanos |  ¿Sabías que 1 año de un perro equivale aproximadamente a 7 años humanos? Guarda la edad de tu perro en una variable y muestra cuántos años tendría si fuera humano.                                                       | "Mi perro tendría", edad_perro * 7, "años en años humanos." | "{\"3\": \"Mi perro tendr\u00eda 21 a\u00f1os en a\u00f1os humanos.\"}" | PYTHON   | f
 45 |        14 | Tu comida favorita                | ¿Cuál es tu comida favorita? Guarda tu comida favorita en una variable y muestra un mensaje como "¡Amo la [Comida]!".                                                                                                      | "¡Amo la " + comida_favorita + "!")                         | "{\"pizza\": \"\u00a1Amo la pizza!\"}"                                  | PYTHON   | f
 46 |        14 | Nombre                            | Pide al usuario su nombre y su edad. Luego muestra un mensaje que diga "Hola [Nombre]". Acuérdate de usar la instrucción input que es la que te ayudará a captar el nombre del usuario.                                    | Hola [Nombre]                                               | "{\"Noelia\": \"Hola Noelia\"}"                                         | PYTHON   | f
 47 |        14 | Cálculo del Área                  | Guarda en una variable el valor del radio de un círculo como 5 y calcula su área \(Área = \pi \times radio^2\).  El valor de pi es 3.14. Devuelve dos decimales.                                                           | "El área del círculo es: 78.54"                             | "{\"A\": \"B\"}"                                                        | PYTHON   | f
 48 |        14 | Operación con números decimales   | Tenemos 10.5 galletas en un paquete y 6 niños. Si cada niño toma una cantidad igual de galletas, ¿cuántas galletas tendría cada uno? Devuelve simplemente el resultado de la operación.                                    | 1.75                                                        | "{\"A\": \"B\"}"                                                        | PYTHON   | f
 49 |        14 | Unir palabras                     | Tienes dos palabras "Helado" y "Chocolate". Combínalas para crear "Helado de Chocolate" y muestra el resultado.                                                                                                            | Helado de Chocolate                                         | "{\"A\": \"B\"}"                                                        | PYTHON   | f
 50 |        14 | Tu nombre en mayúsculas           | ¿Puedes mostrar tu nombre todo en mayúsculas utilizando Python? La función upper() te ayudará a ello.                                                                                                                      | PEPITA                                                      | "{\"pepita\": \"PEPITA\"}"                                              | PYTHON   | f
 51 |        14 | Cadenas                           | Tienes las palabras 'Python' y 'Rocks'. Únelas y devuelve el resultado.                                                                                                                                                    | Python Rocks                                                | "{\"A\": \"B\"}"                                                        | PYTHON   | f
 52 |        14 | Dinero ahorrado                   |  Si ahorras 10 monedas cada día, ¿cuántas monedas tendrás después de una semana (7 días)?                                                                                                                                  | 70                                                          | "{\"A\": \"B\"}"                                                        | PYTHON   | f
 53 |        14 | Repartiendo Caramelos             | Tienes 100 caramelos y 4 amigos. Si divides los caramelos igualmente entre tus amigos, ¿cuántos caramelos obtendría cada amigo?                                                                                            | 25                                                          | "{\"A\": \"B\"}"                                                        | PYTHON   | f
 54 |        14 | El castillo                       | Daniel está construyendo un castillo con bloques. Cada bloque tiene una altura de 4 cm. Si Daniel ha usado 7 bloques, ¿cuánto mide su castillo ahora?                                                                      | 28                                                          | "{\"A\": \"B\"}"                                                        | PYTHON   | f
 55 |        14 | La tienda de caramelos            | En una tienda, un caramelo cuesta 3 monedas. Si tienes 15 monedas y decides comprar caramelos, ¿cuántos caramelos puedes comprar?                                                                                          | 5                                                           | "{\"A\": \"B\"}"                                                        | PYTHON   | f
 56 |        14 | El estanque mágico                | Cada vez que lanzas una moneda al estanque mágico, el número de monedas dentro se duplica. Si al principio hay 3 monedas en el estanque y lanzas una moneda, ¿cuántas monedas habrá después?                               | 6                                                           | "{\"A\": \"B\"}\r\n"                                                    | PYTHON   | f
 57 |        14 | E jardín                          | Ana plantó 84 flores en su jardín, distribuyéndolas en 7 filas. Si cada fila tiene la misma cantidad de flores, ¿cuántas flores hay en cada fila?                                                                          | 12                                                          | "{\"A\": \"B\"}"                                                        | PYTHON   | f
 58 |        14 | Las manzanas de Marta             | Marta tenía 30 manzanas. Decidió regalar 14 manzanas a sus amigos. ¿Cuántas manzanas le quedan ahora?                                                                                                                      | 16                                                          | "{\"A\": \"B\"}"                                                        | PYTHON   | f
 59 |        14 | Ahorro de energía                 | Una bombilla consume 100 vatios cada hora. Si la bombilla estuvo encendida durante 5 horas, ¿cuántos vatios consumió en total?                                                                                             | 500                                                         | "{\"A\": \"B\"}"                                                        | PYTHON   | f
 60 |        14 | Páginas de un libro               | David tiene un libro de 540 páginas y ha leído 45 páginas al día. Si continúa a este ritmo, ¿en cuántos días terminará el libro?                                                                                           | 12                                                          | "{\"A\": \"B\"}"                                                        | PYTHON   | f
 61 |        14 | Fiesta de Juan                    | Juan ha invitado a 8 amigos a su fiesta de cumpleaños. Si cada uno de ellos come 2 pedazos de pizza y 1 refresco, y cada pedazo de pizza cuesta 3 monedas y cada refresco 2 monedas, ¿cuánto dinero gastará Juan en total? | 56                                                          | "{\"A\": \"B\"}"                                                        | PYTHON   | f
 62 |        14 | El zoo mágico                     | En el zoo mágico, cada jirafa come 5 manzanas al día, pero las zebras solo comen la mitad. Si hay 4 jirafas y 6 zebras, ¿cuántas manzanas se necesitan en total para un día?                                               | 35                                                          | "{\"A\": \"B\"}"                                                        | PYTHON   | f
 63 |        14 | Carrera espacial                  | Un cohete viaja al espacio y cubre 100 km cada hora. Si viaja durante 7 horas y luego regresa a la tierra en 5 horas, ¿cuántos kilómetros habrá recorrido en total?                                                        | 1200                                                        | "{\"A\": \"B\"}"                                                        | PYTHON   | f
 64 |        14 | El tesoro pirata                  | Un pirata tiene 3 cofres. El primer cofre tiene 50 monedas, el segundo el doble que el primero, y el tercero la mitad que el segundo. ¿Cuántas monedas tiene en total?                                                     | 175                                                         | "{\"A\": \"B\"}"                                                        | PYTHON   | f
 65 |        14 | La granja de pollos               | Una granja tiene pollos y vacas. Si cada pollo tiene 2 patas y cada vaca 4 patas, y hay 10 pollos y 5 vacas, ¿cuántas patas hay en total en la granja?                                                                     | 40                                                          | "{\"A\": \"B\"}"                                                        | PYTHON   | f
 66 |        14 | Colección de estampillas          | Lucas tiene 3 álbumes de estampillas. El primero tiene 60 estampillas, el segundo tiene 10 estampillas menos que el primero y el tercero tiene la mitad que el segundo. ¿Cuántas estampillas tiene en total?               | 145                                                         | "{\"A\": \"B\"}"                                                        | PYTHON   | f
 67 |        14 | El Helado Mágico                  | ¡Hace calor! Pregunta al usuario su sabor de helado favorito. Si es “vainilla”, imprime “¡Eso es mágicamente delicioso!”. Para cualquier otro sabor, imprime “¡También suena delicioso!                                    | ¡También suena delicioso!                                   | "{\"vainila\": \"\u00a1Eso es m\u00e1gicamente delicioso!\"}"           | PYTHON   | f
 68 |        14 | ¿Es tu Animal un Koala?           | Pregunta al usuario su animal favorito. Si es un koala, imprime "¡Qué tierno!". Si no, imprime "¡[Animal] también es genial!".                                                                                             | "¡{animal} también es genial!"                              | "{\"koala\": \"\u00a1Qu\u00e9 tierno!\"}"                               | PYTHON   | f
 69 |        14 | ¿Eres un Robot?                   | Pregunta al usuario "¿Eres un robot?". Si la respuesta es "No", imprime "¡Me alegra saberlo!", sino imprime "¡Alerta! ¡Robot detectado!".                                                                                  | "¡Alerta! ¡Robot detectado!"                                | "{\"No\": \"\u00a1Me alegra saberlo!\"}"                                | PYTHON   | f
 70 |        14 | Temperatura del agua              | Dada una temperatura del agua, determina si está congelada, líquida o hirviendo. Supongamos que el agua hierve a 100°C y se congela a 0°C. Que devuelva: "El agua está ",  ya sea congelada, líquida o hirviendo           | El agua está {estado}.                                      | "{\"85\": \"l\u00edquida\"}"                                            | PYTHON   | f
 71 |        14 | El dragón hambriento              | Imagina que eres el cuidador de un pequeño dragón. Dependiendo de si tu dragón tiene hambre o no, debes decidir qué hacer. Si tiene hambre, deberás alimentarlo; si no, podrás jugar con él.\r                            +| "Juega con el dragón."                                      | "{\"True\": \"\u00a1Dale de comer al drag\u00f3n!\"}"                   | PYTHON   | f
    |           |                                   | Dada la variable hambre, escribe una estructura if-else para imprimir la acción correcta.                                                                                                                                  |                                                             |                                                                         |          | 
 72 |        14 | Cada hora de dormir               | Cada noche, tu osito de peluche tiene una rutina. Si es más tarde de las 20 horas, es hora de que duerma. De lo contrario, todavía puede jugar un rato.\r                                                                 +| "Tu osito de peluche puede jugar."                          | "{\"21\": \"Tu osito de peluche debe irse a dormir.\"}"                 | PYTHON   | f
    |           |                                   | Usa una estructura if-else para determinar qué debe hacer el osito según la hora dada. Si el osito va a dormir debe devolver "Tu osito de peluche debe irse a dormir." sino "Tu osito de peluche puede jugar."             |                                                             |                                                                         |          | 
 73 |        14 | Doble Diversión                   | Tienes un número. Si el número es el doble de 10, entonces has ganado el juego.\r                                                                                                                                         +| "¡Inténtalo de nuevo!"                                      | "{\"20\": \"\u00a1Has ganado el juego!\"}"                              | PYTHON   | f
    |           |                                   | Dado un número en la variable mi_numero, verifica si es el doble de 10 e imprime un mensaje con "¡Has ganado el juego!"  sino "¡Inténtalo de nuevo!".                                                                      |                                                             |                                                                         |          | 
 74 |        14 | La Montaña rusa                   | En el parque de atracciones, si mides más de 140 cm, puedes subir a la montaña rusa.\r                                                                                                                                    +| "No has podido subir"                                       | "{\"145\": \"Has subido\"}"                                             | PYTHON   | f
    |           |                                   | Instrucciones:\r                                                                                                                                                                                                          +|                                                             |                                                                         |          | 
    |           |                                   | Dada una altura en la variable altura_cm, verifica si puedes subir a la montaña rusa. Devolviendo "Has subido" o "No has podido subir"                                                                                     |                                                             |                                                                         |          | 
 75 |        14 | El club de los números            | Dependiendo de tu número favorito, pertenecerás a uno de los siguientes clubes:\r                                                                                                                                         +| Club Azul                                                   | "{\"7\": \"Club Verde\"}"                                               | PYTHON   | f
    |           |                                   | \r                                                                                                                                                                                                                        +|                                                             |                                                                         |          | 
    |           |                                   | Club Rojo: números menores a 5\r                                                                                                                                                                                          +|                                                             |                                                                         |          | 
    |           |                                   | Club Verde: números entre 5 y 10 (incluyendo 5 y 10)\r                                                                                                                                                                    +|                                                             |                                                                         |          | 
    |           |                                   | Club Azul: números mayores a 10\r                                                                                                                                                                                         +|                                                             |                                                                         |          | 
    |           |                                   | \r                                                                                                                                                                                                                        +|                                                             |                                                                         |          | 
    |           |                                   | El ejercicio debe devolver: "Club X".                                                                                                                                                                                      |                                                             |                                                                         |          | 
(33 filas)

